id_parcelle,pH_sol,azote_N_kg_ha,phosphore_P_kg_ha,potassium_K_kg_ha,pluviometrie_mm,temperature_moy_C,humidite_air_pct,type_sol,region,methode_irrigation,niveau_ensoleillement,qualite_drainage,niveau_fertilite_sol,classe_culture
P0528,6.42,85.9,43.2,108.8,577.5,29.2,45.0,Sableux,Sud,Gravitaire,Moyen,Moyen,Eleve,Cultures_industrielles
P0032,7.44,97.9,49.2,55.7,837.7,19.0,75.0,Argilo-limoneux,Centre,Aspersion,Moyen,Bon,Moyen,Cereales
P0331,5.98,105.8,99.7,126.3,704.3,21.8,73.8,Limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0274,6.86,21.5,51.0,85.0,599.2,22.0,57.3,Limoneux,Ouest,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0021,7.29,97.2,61.2,65.9,628.9,25.1,68.6,Argilo-limoneux,Centre,Pluvial,Moyen,Moyen,Moyen,Cereales
P0114,7.6,94.5,75.3,65.1,735.9,28.4,54.5,Argilo-limoneux,Nord,Pluvial,Eleve,Bon,Moyen,Cereales
P0589,5.86,82.0,39.3,76.5,603.1,25.9,35.1,Argileux,Nord,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0001,6.9,120.0,50.1,69.1,768.1,20.2,62.9,Argilo-limoneux,Sud,Pluvial,Eleve,Bon,Bas,Cereales
P0396,5.83,149.5,73.1,123.3,837.0,22.2,59.9,Argileux,Sud,Pluvial,Eleve,Bon,Moyen,Maraichage
P0314,5.76,169.3,90.3,117.4,774.2,25.4,67.7,Limoneux,Sud,Aspersion,Moyen,Bon,Eleve,Maraichage
P0557,6.55,88.4,59.4,85.6,704.0,27.1,53.2,Argileux,Est,Pluvial,Eleve,Moyen,Bas,Cultures_industrielles
P0214,6.67,55.7,63.4,47.8,548.8,27.0,54.5,Limoneux,Nord,Goutte-a-goutte,Eleve,Bon,Bas,Legumineuses
P0486,7.41,93.9,50.1,69.1,400.0,24.5,42.2,Sableux,Est,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0521,6.43,115.2,49.9,106.9,422.1,32.0,48.1,Argileux,Ouest,Aspersion,Eleve,Excellent,Eleve,Cultures_industrielles
P0003,6.96,101.4,69.0,55.2,778.3,20.1,60.2,Argilo-limoneux,Est,Aspersion,Moyen,Bon,Moyen,Cereales
P0573,6.02,68.1,25.0,69.5,639.3,26.8,47.2,Sableux,Ouest,Pluvial,Eleve,Moyen,Bas,Cultures_industrielles
P0059,6.83,125.3,63.9,70.7,717.8,26.8,64.6,Limoneux,Sud,Aspersion,Faible,Mauvais,Moyen,Cereales
P0544,6.34,95.1,33.1,69.9,658.0,28.8,39.3,Sableux,Ouest,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0372,5.65,159.8,81.9,130.9,869.6,20.8,56.2,Argileux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0005,6.61,120.9,59.7,62.0,737.2,20.2,61.5,Limoneux,Est,Pluvial,Moyen,Bon,Eleve,Cereales
P0257,5.91,48.1,44.0,47.5,584.5,18.5,58.9,Argilo-limoneux,Centre,Aspersion,Moyen,Excellent,Bas,Legumineuses
P0324,5.8,137.5,93.8,97.1,797.3,25.5,73.4,Argilo-limoneux,Sud,Goutte-a-goutte,Eleve,Excellent,Moyen,Maraichage
P0075,5.8,105.6,85.8,58.6,573.3,21.7,56.4,Limoneux,Nord,Goutte-a-goutte,Moyen,Bon,Moyen,Cereales
P0192,5.89,63.2,42.2,63.2,369.4,21.2,72.0,Limoneux,Est,Goutte-a-goutte,Moyen,Bon,Bas,Legumineuses
P0547,6.81,92.7,71.0,55.2,477.3,27.0,55.8,Sableux,Nord,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0598,7.72,49.7,25.0,109.9,431.1,35.3,36.6,Sableux,Ouest,Pluvial,Eleve,Excellent,Moyen,Cultures_industrielles
P0325,5.99,136.7,99.7,126.6,785.3,28.4,62.3,Argilo-limoneux,Nord,Goutte-a-goutte,Faible,Excellent,Moyen,Maraichage
P0081,6.61,100.4,49.9,79.6,765.0,19.0,66.3,Argileux,Nord,Aspersion,Faible,Bon,Moyen,Cereales
P0341,5.98,138.1,118.9,104.1,882.5,28.8,55.4,Limoneux,Sud,Aspersion,Eleve,Bon,Eleve,Maraichage
P0027,6.24,115.3,73.9,78.6,610.9,20.8,55.5,Limoneux,Est,Aspersion,Moyen,Bon,Eleve,Cereales
P0386,5.84,131.7,87.7,150.0,634.4,20.3,73.2,Limoneux,Nord,Goutte-a-goutte,Moyen,Excellent,Bas,Maraichage
P0217,6.77,42.5,48.6,79.1,573.5,19.0,39.1,Sablo-limoneux,Sud,Pluvial,Eleve,Moyen,Moyen,Legumineuses
P0381,5.56,118.5,87.4,106.2,703.5,23.3,73.7,Argileux,Sud,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0479,8.03,109.3,60.6,69.8,523.4,22.5,49.5,Sableux,Sud,Gravitaire,Moyen,Moyen,Eleve,Cultures_industrielles
P0058,6.58,125.3,56.5,57.0,697.8,21.6,63.7,Argilo-limoneux,Centre,Goutte-a-goutte,Moyen,Bon,Moyen,Cereales
P0465,6.56,90.6,64.0,45.0,850.0,30.3,50.1,Limoneux,Nord,Pluvial,Eleve,Moyen,Bas,Cultures_industrielles
P0109,6.8,123.9,61.4,75.9,512.6,21.3,68.4,Argileux,Ouest,Aspersion,Moyen,Moyen,Eleve,Cereales
P0410,5.9,102.2,85.4,89.6,545.1,22.8,69.4,Limoneux,Est,Aspersion,Eleve,Bon,Eleve,Maraichage
P0148,6.17,121.1,48.7,55.3,632.0,23.4,47.4,Argilo-limoneux,Nord,Pluvial,Eleve,Bon,Moyen,Cereales
P0229,5.81,28.5,37.9,57.1,527.8,17.7,56.6,Limoneux,Sud,Pluvial,Moyen,Bon,Eleve,Legumineuses
P0015,6.01,134.3,75.7,68.3,920.1,26.4,59.2,Limoneux,Ouest,Goutte-a-goutte,Eleve,Bon,Eleve,Cereales
P0175,6.27,60.0,48.7,63.5,585.2,20.8,55.3,Argilo-limoneux,Centre,Pluvial,Faible,Bon,Moyen,Legumineuses
P0241,6.47,51.8,33.6,51.6,507.3,18.8,46.9,Limoneux,Ouest,Pluvial,Faible,Bon,Moyen,Legumineuses
P0115,6.62,109.9,64.0,88.0,696.6,21.2,73.9,Argilo-limoneux,Sud,Pluvial,Eleve,Bon,Moyen,Cereales
P0166,7.0,50.3,58.4,57.4,525.9,25.5,59.7,Argilo-limoneux,Sud,Pluvial,Moyen,Bon,Eleve,Legumineuses
P0520,7.4,132.6,85.0,86.6,662.8,30.9,34.4,Sableux,Centre,Pluvial,Eleve,Moyen,Eleve,Cultures_industrielles
P0506,7.29,57.9,79.4,68.5,537.8,29.1,39.8,Argileux,Centre,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0060,7.09,170.0,50.1,57.5,687.0,20.3,63.6,Limoneux,Ouest,Pluvial,Moyen,Moyen,Eleve,Cereales
P0514,7.71,87.3,41.8,87.2,564.3,27.7,45.6,Limoneux,Nord,Aspersion,Moyen,Moyen,Bas,Cultures_industrielles
P0087,7.07,74.5,64.1,57.1,678.4,27.7,72.0,Limoneux,Nord,Pluvial,Moyen,Moyen,Eleve,Cereales
P0165,6.46,48.5,25.0,49.9,547.5,23.4,61.0,Sablo-limoneux,Centre,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0099,6.7,150.3,58.6,75.6,783.2,21.1,55.4,Limoneux,Nord,Pluvial,Moyen,Bon,Moyen,Cereales
P0502,7.88,112.8,49.6,106.6,630.2,26.5,43.6,Limoneux,Sud,Gravitaire,Eleve,Bon,Eleve,Cultures_industrielles
P0169,6.05,37.7,48.9,41.2,429.6,17.3,46.4,Argilo-limoneux,Est,Aspersion,Moyen,Moyen,Bas,Legumineuses
P0295,6.02,40.9,49.1,35.3,504.1,21.0,56.4,Argilo-limoneux,Est,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0042,6.77,132.1,62.9,92.2,850.2,23.6,67.0,Limoneux,Est,Aspersion,Moyen,Bon,Eleve,Cereales
P0365,5.87,122.5,76.0,91.3,712.4,19.4,70.7,Limoneux,Nord,Goutte-a-goutte,Moyen,Excellent,Moyen,Maraichage
P0466,6.0,75.8,43.6,76.3,568.0,27.7,29.6,Sableux,Sud,Pluvial,Moyen,Moyen,Bas,Cultures_industrielles
P0322,5.71,155.5,127.8,127.1,591.7,17.7,69.2,Argilo-limoneux,Ouest,Goutte-a-goutte,Moyen,Moyen,Moyen,Maraichage
P0174,6.79,49.1,43.4,27.0,553.3,17.6,63.9,Limoneux,Centre,Pluvial,Moyen,Bon,Bas,Legumineuses
P0245,5.7,20.9,56.2,25.0,514.6,15.0,53.0,Argilo-limoneux,Nord,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0080,5.9,128.6,50.3,56.4,814.4,22.2,66.1,Limoneux,Ouest,Pluvial,Moyen,Mauvais,Moyen,Cereales
P0481,6.19,48.6,65.5,69.4,418.4,26.0,59.7,Sableux,Nord,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0029,6.46,109.7,67.5,116.2,705.0,22.8,72.5,Limoneux,Nord,Goutte-a-goutte,Moyen,Moyen,Moyen,Cereales
P0510,6.52,70.7,48.8,122.8,549.2,31.3,53.1,Limoneux,Ouest,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0508,7.24,114.6,27.8,46.9,490.5,27.4,45.3,Sableux,Ouest,Aspersion,Eleve,Excellent,Moyen,Cultures_industrielles
P0294,6.43,44.1,49.0,44.0,569.6,21.6,38.7,Argilo-limoneux,Ouest,Goutte-a-goutte,Moyen,Bon,Eleve,Legumineuses
P0404,5.97,150.6,119.2,135.2,752.5,25.9,75.2,Limoneux,Sud,Goutte-a-goutte,Eleve,Bon,Moyen,Maraichage
P0302,7.03,137.1,72.9,107.4,767.0,20.0,53.9,Limoneux,Nord,Goutte-a-goutte,Eleve,Excellent,Moyen,Maraichage
P0085,6.38,157.9,50.9,60.2,590.0,22.9,60.0,Argileux,Sud,Aspersion,Moyen,Bon,Moyen,Cereales
P0063,6.26,134.1,58.7,66.4,697.1,27.3,61.6,Limoneux,Sud,Aspersion,Moyen,Bon,Eleve,Cereales
P0596,6.37,116.5,38.8,94.0,488.2,28.3,34.7,Sableux,Centre,Aspersion,Eleve,Bon,Moyen,Cultures_industrielles
P0137,6.39,112.0,79.5,63.1,723.0,24.8,50.2,Argilo-limoneux,Sud,Aspersion,Moyen,Excellent,Moyen,Cereales
P0112,6.69,113.8,46.5,101.1,691.3,18.5,61.6,Argilo-limoneux,Sud,Goutte-a-goutte,Eleve,Excellent,Bas,Cereales
P0195,6.81,56.4,59.1,51.4,620.0,23.3,54.0,Sablo-limoneux,Centre,Pluvial,Faible,Bon,Moyen,Legumineuses
P0371,7.0,158.2,58.8,129.0,803.1,18.7,72.9,Limoneux,Centre,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0044,6.58,90.1,53.9,57.1,564.7,19.2,59.2,Argilo-limoneux,Centre,Pluvial,Eleve,Bon,Bas,Cereales
P0459,7.68,92.9,60.1,50.8,515.8,27.7,48.3,Sableux,Nord,Pluvial,Faible,Bon,Eleve,Cultures_industrielles
P0130,6.5,107.3,38.9,87.2,630.0,26.6,51.8,Limoneux,Ouest,Aspersion,Moyen,Bon,Moyen,Cereales
P0535,6.95,80.1,56.9,45.0,436.8,28.0,39.5,Argileux,Sud,Pluvial,Eleve,Bon,Moyen,Cultures_industrielles
P0219,6.68,38.5,57.6,47.9,350.0,25.3,59.7,Sablo-limoneux,Ouest,Pluvial,Eleve,Bon,Eleve,Legumineuses
P0097,6.82,105.5,39.4,78.7,729.4,23.9,74.4,Limoneux,Centre,Pluvial,Moyen,Excellent,Moyen,Cereales
P0125,6.93,95.4,67.7,82.4,715.4,22.9,73.8,Limoneux,Sud,Pluvial,Eleve,Moyen,Eleve,Cereales
P0563,6.86,105.8,61.8,90.9,518.6,29.5,28.6,Sableux,Nord,Gravitaire,Eleve,Bon,Bas,Cultures_industrielles
P0597,6.03,83.7,25.0,122.1,673.1,32.2,42.8,Sableux,Ouest,Pluvial,Eleve,Bon,Moyen,Cultures_industrielles
P0178,6.07,15.0,64.6,57.9,672.8,18.5,42.8,Argilo-limoneux,Est,Pluvial,Faible,Bon,Moyen,Legumineuses
P0340,6.05,147.5,102.5,114.8,876.7,30.1,60.2,Argilo-limoneux,Est,Goutte-a-goutte,Eleve,Bon,Moyen,Maraichage
P0575,6.96,72.4,37.1,62.2,493.4,26.2,37.7,Limoneux,Est,Pluvial,Moyen,Moyen,Moyen,Cultures_industrielles
P0562,6.65,77.5,43.3,80.8,673.1,28.4,58.8,Argileux,Nord,Gravitaire,Moyen,Excellent,Bas,Cultures_industrielles
P0104,6.38,135.6,60.6,73.8,573.2,26.6,54.8,Limoneux,Est,Aspersion,Moyen,Excellent,Eleve,Cereales
P0082,6.84,119.3,52.8,45.1,598.4,20.2,63.4,Limoneux,Ouest,Pluvial,Moyen,Bon,Eleve,Cereales
P0334,5.64,135.4,95.7,119.4,724.9,22.3,78.8,Limoneux,Ouest,Goutte-a-goutte,Eleve,Moyen,Eleve,Maraichage
P0344,6.13,142.4,101.1,106.7,702.0,28.2,65.5,Limoneux,Sud,Aspersion,Moyen,Bon,Bas,Maraichage
P0265,6.89,30.8,31.9,47.8,477.8,17.8,57.7,Limoneux,Centre,Goutte-a-goutte,Eleve,Bon,Eleve,Legumineuses
P0402,6.1,162.1,91.0,116.2,789.2,21.4,72.4,Argileux,Nord,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0228,6.44,29.5,51.4,71.8,528.2,14.0,52.6,Sablo-limoneux,Nord,Aspersion,Moyen,Excellent,Moyen,Legumineuses
P0276,6.44,51.2,48.1,72.1,528.5,24.8,52.8,Sablo-limoneux,Ouest,Pluvial,Faible,Moyen,Moyen,Legumineuses
P0376,6.36,118.1,97.7,104.8,763.4,26.0,66.6,Argilo-limoneux,Ouest,Pluvial,Eleve,Bon,Eleve,Maraichage
P0264,6.28,61.6,49.1,25.0,431.8,20.8,48.8,Limoneux,Nord,Pluvial,Eleve,Bon,Bas,Legumineuses
P0533,7.09,63.3,79.4,102.4,433.8,33.1,26.8,Sableux,Ouest,Pluvial,Eleve,Bon,Moyen,Cultures_industrielles
P0254,6.34,23.4,47.0,47.8,589.2,16.7,45.0,Limoneux,Nord,Pluvial,Moyen,Excellent,Bas,Legumineuses
P0172,6.3,45.5,50.7,44.9,583.7,17.3,63.8,Limoneux,Est,Goutte-a-goutte,Faible,Bon,Moyen,Legumineuses
P0238,6.4,47.5,51.3,51.7,630.3,19.4,68.1,Argilo-limoneux,Centre,Goutte-a-goutte,Moyen,Bon,Moyen,Legumineuses
P0382,6.79,157.1,83.8,141.4,732.3,28.3,59.4,Limoneux,Est,Aspersion,Eleve,Bon,Moyen,Maraichage
P0140,6.21,102.5,59.3,57.2,791.3,26.3,68.4,Limoneux,Est,Pluvial,Moyen,Bon,Bas,Cereales
P0268,6.04,19.1,29.4,51.7,459.4,24.5,45.3,Limoneux,Nord,Goutte-a-goutte,Eleve,Moyen,Moyen,Legumineuses
P0591,6.24,72.0,51.5,101.4,361.9,27.5,44.4,Limoneux,Ouest,Pluvial,Moyen,Moyen,Moyen,Cultures_industrielles
P0360,6.53,151.9,94.5,131.2,525.9,22.6,56.5,Argileux,Nord,Goutte-a-goutte,Moyen,Moyen,Moyen,Maraichage
P0213,6.52,57.1,62.7,54.4,703.0,23.1,60.1,Sablo-limoneux,Centre,Aspersion,Faible,Moyen,Bas,Legumineuses
P0199,5.7,65.3,40.6,59.0,420.0,17.3,62.5,Sablo-limoneux,Nord,Pluvial,Faible,Bon,Eleve,Legumineuses
P0384,6.51,143.7,89.9,90.6,710.3,32.0,60.6,Limoneux,Centre,Goutte-a-goutte,Moyen,Bon,Moyen,Maraichage
P0016,6.48,123.3,60.3,66.7,711.6,20.9,62.2,Argilo-limoneux,Est,Aspersion,Eleve,Bon,Moyen,Cereales
P0164,5.87,46.8,48.3,47.4,670.2,18.3,57.2,Sablo-limoneux,Sud,Pluvial,Moyen,Moyen,Moyen,Legumineuses
P0424,5.63,142.9,99.9,123.2,672.2,23.2,47.2,Limoneux,Sud,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0391,6.27,176.6,91.9,140.8,736.4,24.7,70.2,Limoneux,Sud,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0499,7.24,75.9,25.0,58.4,757.4,28.6,58.1,Limoneux,Nord,Gravitaire,Eleve,Mauvais,Moyen,Cultures_industrielles
P0038,5.92,113.5,56.1,53.8,706.6,24.4,65.7,Limoneux,Est,Aspersion,Eleve,Moyen,Eleve,Cereales
P0505,6.28,80.1,39.0,108.3,565.7,25.0,33.1,Sableux,Est,Gravitaire,Faible,Moyen,Bas,Cultures_industrielles
P0207,6.47,30.6,26.1,42.2,615.0,19.3,61.0,Limoneux,Centre,Goutte-a-goutte,Eleve,Bon,Moyen,Legumineuses
P0296,6.52,33.3,50.3,44.8,363.3,19.9,46.7,Sablo-limoneux,Sud,Pluvial,Eleve,Bon,Moyen,Legumineuses
P0427,6.39,160.0,92.5,95.5,820.7,32.0,58.2,Limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0074,7.33,82.7,71.5,78.6,666.6,21.9,54.8,Argilo-limoneux,Ouest,Pluvial,Moyen,Bon,Eleve,Cereales
P0379,6.44,142.8,120.1,114.5,747.8,21.5,72.9,Argilo-limoneux,Centre,Aspersion,Faible,Bon,Moyen,Maraichage
P0105,6.64,84.6,54.6,75.1,559.9,27.3,65.6,Argileux,Centre,Pluvial,Moyen,Moyen,Eleve,Cereales
P0327,5.96,180.7,124.0,101.1,595.7,31.8,75.3,Limoneux,Ouest,Aspersion,Moyen,Excellent,Eleve,Maraichage
P0017,6.29,131.4,68.2,79.2,709.8,22.9,64.9,Limoneux,Sud,Aspersion,Eleve,Moyen,Moyen,Cereales
P0092,7.09,112.7,65.9,53.1,804.3,25.0,43.7,Argileux,Centre,Pluvial,Moyen,Bon,Moyen,Cereales
P0089,6.49,101.8,71.4,85.1,764.0,26.0,58.2,Argileux,Ouest,Pluvial,Faible,Bon,Moyen,Cereales
P0437,6.06,107.4,124.3,90.3,803.7,22.8,63.2,Limoneux,Ouest,Goutte-a-goutte,Eleve,Moyen,Moyen,Maraichage
P0206,6.87,51.6,40.3,62.4,556.0,23.2,49.0,Limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Legumineuses
P0103,6.56,157.4,60.1,87.5,636.6,21.1,60.5,Argileux,Sud,Aspersion,Moyen,Excellent,Moyen,Cereales
P0239,6.56,26.0,52.7,34.5,385.5,23.3,58.5,Sablo-limoneux,Ouest,Pluvial,Moyen,Bon,Moyen,Legumineuses
P0549,7.15,66.7,39.0,96.5,623.4,26.0,42.3,Limoneux,Nord,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0247,6.33,34.4,43.5,51.7,603.8,23.6,60.5,Argilo-limoneux,Ouest,Aspersion,Moyen,Bon,Moyen,Legumineuses
P0158,6.23,49.0,44.7,55.6,546.4,23.4,66.4,Limoneux,Centre,Aspersion,Eleve,Bon,Moyen,Legumineuses
P0134,6.89,90.2,68.6,104.1,546.8,26.1,65.2,Limoneux,Est,Goutte-a-goutte,Moyen,Bon,Moyen,Cereales
P0388,5.43,160.5,64.8,98.2,757.3,16.8,65.0,Limoneux,Sud,Goutte-a-goutte,Eleve,Moyen,Eleve,Maraichage
P0406,6.28,145.4,57.4,98.5,929.5,23.3,62.7,Argileux,Ouest,Aspersion,Eleve,Moyen,Eleve,Maraichage
P0019,6.34,110.1,63.9,62.0,743.3,21.1,56.4,Argileux,Est,Pluvial,Faible,Moyen,Moyen,Cereales
P0462,6.95,101.1,31.5,112.1,359.3,26.1,56.2,Limoneux,Centre,Gravitaire,Eleve,Moyen,Bas,Cultures_industrielles
P0478,6.07,122.2,45.5,101.8,647.7,28.8,47.1,Sableux,Centre,Aspersion,Eleve,Moyen,Eleve,Cultures_industrielles
P0343,6.53,111.7,74.0,101.2,725.3,22.6,63.1,Argileux,Ouest,Pluvial,Eleve,Excellent,Eleve,Maraichage
P0275,6.83,48.5,37.4,53.7,672.3,21.1,51.1,Sablo-limoneux,Nord,Pluvial,Eleve,Bon,Moyen,Legumineuses
P0451,7.05,95.0,54.8,76.3,547.1,25.5,55.3,Sableux,Centre,Pluvial,Eleve,Bon,Moyen,Cultures_industrielles
P0529,6.78,97.0,32.0,67.3,423.7,28.1,27.4,Sableux,Nord,Pluvial,Moyen,Moyen,Moyen,Cultures_industrielles
P0312,6.13,125.6,78.2,100.5,817.7,22.2,68.4,Limoneux,Sud,Pluvial,Eleve,Excellent,Eleve,Maraichage
P0393,5.87,161.1,79.2,139.2,707.9,22.2,69.4,Argilo-limoneux,Centre,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0564,7.41,56.9,53.8,66.5,699.9,25.2,26.1,Sableux,Nord,Gravitaire,Eleve,Bon,Bas,Cultures_industrielles
P0269,6.35,31.7,44.4,45.2,547.4,16.2,51.4,Limoneux,Ouest,Goutte-a-goutte,Moyen,Moyen,Eleve,Legumineuses
P0035,7.03,110.5,71.7,58.7,608.9,24.7,63.5,Argilo-limoneux,Centre,Pluvial,Eleve,Moyen,Moyen,Cereales
P0182,5.86,63.6,41.9,32.5,454.0,18.4,61.4,Limoneux,Sud,Pluvial,Moyen,Bon,Bas,Legumineuses
P0185,6.33,42.6,35.7,28.1,513.9,26.7,68.2,Argilo-limoneux,Nord,Pluvial,Moyen,Moyen,Eleve,Legumineuses
P0208,6.75,27.0,37.7,64.6,469.5,24.9,59.8,Argilo-limoneux,Ouest,Goutte-a-goutte,Eleve,Moyen,Moyen,Legumineuses
P0095,6.54,91.0,74.2,32.9,753.4,23.5,52.0,Limoneux,Centre,Aspersion,Eleve,Bon,Bas,Cereales
P0512,5.81,88.2,50.2,87.9,575.6,29.8,37.6,Argileux,Est,Aspersion,Eleve,Mauvais,Bas,Cultures_industrielles
P0407,6.69,162.5,130.0,96.0,866.7,27.7,63.3,Argileux,Ouest,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0123,7.26,138.3,57.0,74.9,578.7,18.9,59.8,Limoneux,Ouest,Aspersion,Eleve,Bon,Moyen,Cereales
P0460,6.75,103.1,33.4,80.0,578.8,34.6,54.1,Argileux,Est,Pluvial,Eleve,Mauvais,Eleve,Cultures_industrielles
P0079,6.74,100.7,86.3,73.9,784.2,21.7,47.3,Argilo-limoneux,Nord,Pluvial,Moyen,Excellent,Moyen,Cereales
P0351,5.84,163.7,77.0,123.6,889.1,27.8,73.9,Limoneux,Sud,Aspersion,Eleve,Excellent,Eleve,Maraichage
P0062,6.63,137.7,78.4,69.2,650.8,21.7,70.6,Argileux,Centre,Aspersion,Moyen,Moyen,Eleve,Cereales
P0252,6.28,54.4,41.2,61.5,528.7,17.2,48.1,Sablo-limoneux,Nord,Pluvial,Moyen,Moyen,Bas,Legumineuses
P0126,7.58,124.2,76.4,36.8,683.4,28.4,63.5,Limoneux,Ouest,Pluvial,Eleve,Excellent,Bas,Cereales
P0429,5.95,145.1,78.7,132.5,835.2,25.7,60.0,Limoneux,Ouest,Goutte-a-goutte,Eleve,Bon,Eleve,Maraichage
P0426,6.22,118.5,108.1,118.3,679.1,32.0,69.0,Argileux,Nord,Aspersion,Eleve,Moyen,Moyen,Maraichage
P0590,6.34,67.9,46.2,64.1,357.3,27.7,44.2,Argileux,Ouest,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0348,6.08,137.2,55.0,100.2,922.9,24.0,75.4,Limoneux,Sud,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0473,7.44,72.7,61.3,115.6,582.2,25.6,28.8,Sableux,Est,Pluvial,Moyen,Bon,Moyen,Cultures_industrielles
P0543,7.17,96.0,34.5,77.9,403.3,24.5,41.6,Argileux,Sud,Pluvial,Eleve,Mauvais,Moyen,Cultures_industrielles
P0378,6.5,122.5,86.8,137.4,696.9,18.9,66.4,Limoneux,Sud,Goutte-a-goutte,Moyen,Excellent,Eleve,Maraichage
P0068,7.1,110.3,60.2,55.3,835.4,25.7,74.4,Argilo-limoneux,Centre,Pluvial,Faible,Mauvais,Eleve,Cereales
P0025,6.48,120.5,47.9,94.7,843.4,24.9,69.6,Argileux,Nord,Pluvial,Eleve,Moyen,Moyen,Cereales
P0443,6.37,132.6,78.5,107.6,648.9,32.0,56.5,Argilo-limoneux,Ouest,Goutte-a-goutte,Eleve,Excellent,Eleve,Maraichage
P0485,5.7,45.0,44.6,93.7,573.2,30.0,53.0,Sableux,Nord,Gravitaire,Eleve,Bon,Moyen,Cultures_industrielles
P0595,7.0,72.4,44.3,96.1,680.1,28.9,39.2,Limoneux,Nord,Gravitaire,Faible,Moyen,Bas,Cultures_industrielles
P0127,6.3,119.0,48.4,73.5,701.7,21.4,60.3,Limoneux,Centre,Pluvial,Eleve,Bon,Eleve,Cereales
P0534,7.19,73.0,47.5,65.2,618.2,35.4,30.2,Sableux,Est,Aspersion,Eleve,Bon,Bas,Cultures_industrielles
P0335,6.13,160.0,98.3,122.3,659.0,25.7,56.4,Argileux,Nord,Aspersion,Moyen,Excellent,Bas,Maraichage
P0578,7.15,92.0,51.8,68.6,517.9,29.6,56.3,Sableux,Ouest,Aspersion,Moyen,Bon,Moyen,Cultures_industrielles
P0179,6.52,31.9,36.9,55.3,718.5,21.1,49.7,Sablo-limoneux,Nord,Goutte-a-goutte,Moyen,Bon,Bas,Legumineuses
P0411,6.55,130.9,83.9,93.7,788.9,20.1,80.0,Argilo-limoneux,Ouest,Aspersion,Eleve,Bon,Eleve,Maraichage
P0567,6.51,86.1,64.7,125.2,518.5,27.6,48.3,Limoneux,Ouest,Gravitaire,Faible,Bon,Eleve,Cultures_industrielles
P0136,7.32,76.0,60.9,73.7,742.5,28.5,72.6,Argileux,Nord,Aspersion,Moyen,Moyen,Moyen,Cereales
P0224,6.78,45.8,41.0,48.0,608.5,21.4,62.8,Sablo-limoneux,Sud,Pluvial,Faible,Excellent,Moyen,Legumineuses
P0588,7.56,105.6,42.3,67.1,804.9,26.8,44.5,Sableux,Centre,Gravitaire,Eleve,Moyen,Moyen,Cultures_industrielles
P0554,7.3,108.0,52.7,80.7,291.3,30.3,55.0,Sableux,Sud,Pluvial,Eleve,Moyen,Moyen,Cultures_industrielles
P0488,7.63,112.4,59.5,71.7,576.0,26.4,28.7,Argileux,Nord,Aspersion,Eleve,Moyen,Moyen,Cultures_industrielles
P0094,6.57,132.3,82.0,91.6,755.4,24.1,54.5,Argilo-limoneux,Ouest,Aspersion,Moyen,Bon,Eleve,Cereales
P0467,6.24,105.2,54.2,75.9,396.9,26.3,33.0,Argileux,Est,Pluvial,Eleve,Moyen,Bas,Cultures_industrielles
P0070,6.44,116.6,50.7,81.3,798.2,26.2,48.6,Argilo-limoneux,Est,Pluvial,Eleve,Moyen,Moyen,Cereales
P0037,6.78,124.5,50.1,60.3,774.1,25.5,51.8,Limoneux,Centre,Pluvial,Moyen,Excellent,Eleve,Cereales
P0297,7.2,29.9,34.4,58.1,530.8,22.0,55.1,Limoneux,Sud,Pluvial,Faible,Bon,Moyen,Legumineuses
P0161,5.97,43.5,47.9,39.9,573.7,14.0,51.5,Argilo-limoneux,Sud,Goutte-a-goutte,Moyen,Moyen,Moyen,Legumineuses
P0363,5.59,129.6,103.0,111.3,635.9,27.6,64.5,Limoneux,Centre,Goutte-a-goutte,Faible,Excellent,Moyen,Maraichage
